latitude,surface_temperature_1980_2000,20m_temperature_1980_2000,surface_nitrate_1980_2000,20m_nitrate_1980_2000,mixed_layer_depth_1980_2000,surface_temperature_2080_2100,20m_temperature_2080_2100,surface_nitrate_2080_2100,20m_nitrate_2080_2100,mixed_layer_depth_2080_2100
59.5,10.561438,10.52218842,0.009683554,0.009824264,257.8479,10.025949,9.963556765,0.002914819,0.002955423,66.68206
60.5,10.344136,10.30181469,0.00973102,0.009881772,304.4634,9.968829,9.905805772,0.00301716,0.003060601,67.5902
61.5,10.141634,10.09659179,0.009752357,0.009912957,355.43234,9.767868,9.701552211,0.003057279,0.003102331,67.752945
62.5,9.966048,9.9188745,0.009782519,0.009954465,348.60968,9.259501,9.18146477,0.002983757,0.003031615,65.48806
63.5,9.80194,9.753272448,0.009858843,0.010053078,302.8833,8.429303,8.33009484,0.002756316,0.002805102,61.044487
64.5,9.427872,9.382063974,0.009779803,0.010002294,220.38171,7.3669143,7.239216205,0.002391464,0.002436833,54.70646
65.5,7.9082866,7.925471268,0.008938845,0.009193007,96.38277,6.0389132,5.880920157,0.001948006,0.001990414,48.30086
66.5,2.945609,3.046622641,0.00646556,0.006818017,39.254738,4.7866297,4.610440063,0.001554455,0.001591671,50.825054
67.5,-0.06568956,-0.015628357,0.00494274,0.005264648,26.966557,4.180773,3.964119841,0.001331889,0.001368841,52.889442
68.5,-0.7468854,-0.664550868,0.004602342,0.004890514,33.740856,3.7467546,3.535231723,0.001367125,0.001404278,54.85113
69.5,,,,,,,,,,
70.5,,,,,,,,,,
71.5,,,,,,,,,,
72.5,,,,,,,,,,
73.5,,,,,,,,,,
74.5,,,,,,,,,,
75.5,,,,,,,,,,
76.5,,,,,,,,,,
77.5,,,,,,,,,,
78.5,,,,,,,,,,
79.5,,,,,,,,,,
80.5,,,,,,,,,,
81.5,,,,,,,,,,
82.5,,,,,,,,,,
83.5,-1.7759889,-1.774418033,0.005773358,0.005899847,46.56706,-0.087966844,-0.274693872,0.000788204,0.000822346,44.863663
84.5,-1.7771636,-1.776355374,0.005806655,0.005900368,44.303837,-0.21108353,-0.354921293,0.000804648,0.00083119,43.579716
85.5,-1.7853454,-1.783731986,0.005804123,0.005872697,45.69592,-0.27538672,-0.374386963,0.0008324,0.000857228,44.5509
86.5,-1.7834007,-1.782584778,0.005743215,0.005803467,46.335487,-0.30309448,-0.381905814,0.000854219,0.000879576,45.795963
87.5,-1.7786334,-1.778191483,0.005650278,0.005704399,46.989155,-0.32382166,-0.390845654,0.000868753,0.000894676,47.123917
88.5,-1.7726289,-1.772376716,0.005545667,0.005596145,47.686302,-0.3459556,-0.406520694,0.000863921,0.000889832,47.809322
89.5,-1.7672629,-1.767101815,0.005450563,0.005500878,48.27548,-0.36396772,-0.421388907,0.000846428,0.000872002,47.833797
